EMPLOYEE1,EMPLOYEE2,similarity
EMPLOYEES30-10548,EMPLOYEES70-8120,1.0
EMPLOYEES30-10549,EMPLOYEES70-8307,1.0
EMPLOYEES30-10550,EMPLOYEES70-6344,1.0
EMPLOYEES30-10551,EMPLOYEES70-3735,1.0
EMPLOYEES30-10552,EMPLOYEES30-11237,1.0
EMPLOYEES30-10553,EMPLOYEES70-4735,1.0
EMPLOYEES30-10554,EMPLOYEES30-11796,1.0
EMPLOYEES30-10555,EMPLOYEES70-9008,1.0
EMPLOYEES30-10556,EMPLOYEES70-7138,1.0
EMPLOYEES30-10557,EMPLOYEES30-12162,1.0
EMPLOYEES30-10558,EMPLOYEES70-9787,1.0
EMPLOYEES30-10559,EMPLOYEES70-3948,1.0
EMPLOYEES30-10560,EMPLOYEES70-3194,1.0
EMPLOYEES30-10561,EMPLOYEES70-8413,1.0
EMPLOYEES30-10562,EMPLOYEES70-10297,1.0
EMPLOYEES30-10563,EMPLOYEES70-1197,1.0
EMPLOYEES30-10564,EMPLOYEES30-13597,1.0
EMPLOYEES30-10565,EMPLOYEES70-642,1.0
EMPLOYEES30-10566,EMPLOYEES70-894,1.0
EMPLOYEES30-10567,EMPLOYEES70-2451,1.0
EMPLOYEES30-10568,EMPLOYEES70-6220,1.0
EMPLOYEES30-10569,EMPLOYEES70-8214,1.0
EMPLOYEES30-10570,EMPLOYEES70-6302,1.0
EMPLOYEES30-10571,EMPLOYEES70-711,1.0
EMPLOYEES30-10572,EMPLOYEES70-2950,1.0
EMPLOYEES30-10573,EMPLOYEES30-13165,1.0
EMPLOYEES30-10574,EMPLOYEES70-1907,1.0
EMPLOYEES30-10575,EMPLOYEES30-10812,1.0
EMPLOYEES30-10576,EMPLOYEES70-8827,1.0
EMPLOYEES30-10577,EMPLOYEES70-10289,1.0
EMPLOYEES30-10578,EMPLOYEES30-11418,1.0
EMPLOYEES30-10579,EMPLOYEES70-3687,1.0
EMPLOYEES30-10580,EMPLOYEES70-5405,1.0
EMPLOYEES30-10581,EMPLOYEES30-11968,1.0
EMPLOYEES30-10582,EMPLOYEES30-13146,1.0
EMPLOYEES30-10583,EMPLOYEES30-11993,1.0
EMPLOYEES30-10584,EMPLOYEES70-1622,1.0
EMPLOYEES30-10585,EMPLOYEES30-10579,1.0
EMPLOYEES30-10586,EMPLOYEES70-2335,1.0
EMPLOYEES30-10587,EMPLOYEES30-12068,1.0
EMPLOYEES30-10588,EMPLOYEES70-573,1.0
EMPLOYEES30-10589,EMPLOYEES70-10339,1.0
EMPLOYEES30-10590,EMPLOYEES70-6586,1.0
EMPLOYEES30-10591,EMPLOYEES70-2233,1.0
EMPLOYEES30-10592,EMPLOYEES70-7557,1.0
EMPLOYEES30-10593,EMPLOYEES70-2108,1.0
EMPLOYEES30-10594,EMPLOYEES70-4125,1.0
EMPLOYEES30-10595,EMPLOYEES30-11320,1.0
EMPLOYEES30-10596,EMPLOYEES70-7547,1.0
EMPLOYEES30-10597,EMPLOYEES70-3972,1.0
EMPLOYEES30-10598,EMPLOYEES70-2570,1.0
EMPLOYEES30-10599,EMPLOYEES70-3624,1.0
EMPLOYEES30-10600,EMPLOYEES30-11931,1.0
EMPLOYEES30-10601,EMPLOYEES70-7885,1.0
EMPLOYEES30-10602,EMPLOYEES70-5521,1.0
EMPLOYEES30-10603,EMPLOYEES70-3741,1.0
EMPLOYEES30-10604,EMPLOYEES70-10129,1.0
EMPLOYEES30-10605,EMPLOYEES30-11969,1.0
EMPLOYEES30-10606,EMPLOYEES70-2038,1.0
EMPLOYEES30-10607,EMPLOYEES70-4667,1.0
EMPLOYEES30-10608,EMPLOYEES30-11434,1.0
EMPLOYEES30-10609,EMPLOYEES70-6750,1.0
EMPLOYEES30-10610,EMPLOYEES70-8301,1.0
EMPLOYEES30-10611,EMPLOYEES70-9564,1.0
EMPLOYEES30-10612,EMPLOYEES70-3251,1.0
EMPLOYEES30-10613,EMPLOYEES70-5895,1.0
EMPLOYEES30-10614,EMPLOYEES70-9463,1.0
EMPLOYEES30-10615,EMPLOYEES70-2760,1.0
EMPLOYEES30-10616,EMPLOYEES30-10988,1.0
EMPLOYEES30-10617,EMPLOYEES70-3335,1.0
EMPLOYEES30-10618,EMPLOYEES70-8456,1.0
EMPLOYEES30-10619,EMPLOYEES70-7189,1.0
EMPLOYEES30-10620,EMPLOYEES70-5383,1.0
EMPLOYEES30-10621,EMPLOYEES70-1692,1.0
EMPLOYEES30-10622,EMPLOYEES70-1450,1.0
EMPLOYEES30-10623,EMPLOYEES70-2717,1.0
EMPLOYEES30-10624,EMPLOYEES30-12985,1.0
EMPLOYEES30-10625,EMPLOYEES70-7313,1.0
EMPLOYEES30-10626,EMPLOYEES70-5399,1.0
EMPLOYEES30-10627,EMPLOYEES30-11836,1.0
EMPLOYEES30-10628,EMPLOYEES70-5947,1.0
EMPLOYEES30-10629,EMPLOYEES30-11585,1.0
EMPLOYEES30-10630,EMPLOYEES30-12243,1.0
EMPLOYEES30-10631,EMPLOYEES70-3008,1.0
EMPLOYEES30-10632,EMPLOYEES70-4366,1.0
EMPLOYEES30-10633,EMPLOYEES70-4912,1.0
EMPLOYEES30-10634,EMPLOYEES70-7870,1.0
EMPLOYEES30-10635,EMPLOYEES70-6797,1.0
EMPLOYEES30-10636,EMPLOYEES70-3729,1.0
EMPLOYEES30-10637,EMPLOYEES70-6209,1.0
EMPLOYEES30-10638,EMPLOYEES70-6168,1.0
EMPLOYEES30-10639,EMPLOYEES70-5051,1.0
EMPLOYEES30-10640,EMPLOYEES70-4419,1.0
EMPLOYEES30-10641,EMPLOYEES70-61,1.0
EMPLOYEES30-10642,EMPLOYEES30-12853,1.0
EMPLOYEES30-10643,EMPLOYEES70-5881,1.0
EMPLOYEES30-10644,EMPLOYEES70-9959,1.0
EMPLOYEES30-10645,EMPLOYEES70-5951,1.0
EMPLOYEES30-10646,EMPLOYEES70-9030,1.0
EMPLOYEES30-10647,EMPLOYEES70-7385,1.0
EMPLOYEES30-10648,EMPLOYEES70-7237,1.0
EMPLOYEES30-10649,EMPLOYEES70-7266,1.0
EMPLOYEES30-10650,EMPLOYEES70-2471,1.0
EMPLOYEES30-10651,EMPLOYEES30-12862,1.0
EMPLOYEES30-10652,EMPLOYEES30-11143,1.0
EMPLOYEES30-10653,EMPLOYEES30-12488,1.0
EMPLOYEES30-10654,EMPLOYEES70-3832,1.0
EMPLOYEES30-10655,EMPLOYEES30-11122,1.0
EMPLOYEES30-10656,EMPLOYEES70-8161,1.0
EMPLOYEES30-10657,EMPLOYEES70-9175,1.0
EMPLOYEES30-10658,EMPLOYEES70-9332,1.0
EMPLOYEES30-10659,EMPLOYEES30-13762,1.0
EMPLOYEES30-10660,EMPLOYEES70-1725,1.0
EMPLOYEES30-10661,EMPLOYEES30-11004,1.0
EMPLOYEES30-10662,EMPLOYEES70-7478,1.0
EMPLOYEES30-10663,EMPLOYEES30-11187,1.0
EMPLOYEES30-10664,EMPLOYEES70-8419,1.0
EMPLOYEES30-10665,EMPLOYEES30-13317,1.0
EMPLOYEES30-10666,EMPLOYEES70-5727,1.0
EMPLOYEES30-10667,EMPLOYEES30-13939,1.0
EMPLOYEES30-10668,EMPLOYEES70-2355,1.0
EMPLOYEES30-10669,EMPLOYEES70-5377,1.0
EMPLOYEES30-10670,EMPLOYEES70-6626,1.0
EMPLOYEES30-10671,EMPLOYEES70-2746,1.0
EMPLOYEES30-10672,EMPLOYEES70-318,1.0
EMPLOYEES30-10673,EMPLOYEES70-434,1.0
EMPLOYEES30-10674,EMPLOYEES70-8666,1.0
EMPLOYEES30-10675,EMPLOYEES70-5014,1.0
EMPLOYEES30-10676,EMPLOYEES30-12372,1.0
EMPLOYEES30-10677,EMPLOYEES70-2793,1.0
EMPLOYEES30-10678,EMPLOYEES70-9109,1.0
EMPLOYEES30-10679,EMPLOYEES30-13154,1.0
EMPLOYEES30-10680,EMPLOYEES30-13730,1.0
EMPLOYEES30-10681,EMPLOYEES70-2321,1.0
EMPLOYEES30-10682,EMPLOYEES70-3313,1.0
EMPLOYEES30-10683,EMPLOYEES70-4492,1.0
EMPLOYEES30-10684,EMPLOYEES70-9928,1.0
EMPLOYEES30-10685,EMPLOYEES30-14935,1.0
EMPLOYEES30-10686,EMPLOYEES30-11562,1.0
EMPLOYEES30-10687,EMPLOYEES70-6052,1.0
EMPLOYEES30-10688,EMPLOYEES70-5272,1.0
EMPLOYEES30-10689,EMPLOYEES30-11711,1.0
EMPLOYEES30-10690,EMPLOYEES70-4827,1.0
EMPLOYEES30-10691,EMPLOYEES30-12226,1.0
EMPLOYEES30-10692,EMPLOYEES70-3644,1.0
EMPLOYEES30-10693,EMPLOYEES70-3491,1.0
EMPLOYEES30-10694,EMPLOYEES70-10226,1.0
EMPLOYEES30-10695,EMPLOYEES70-2336,1.0
EMPLOYEES30-10696,EMPLOYEES30-13175,1.0
EMPLOYEES30-10697,EMPLOYEES70-289,1.0
EMPLOYEES30-10698,EMPLOYEES30-10844,1.0
EMPLOYEES30-10699,EMPLOYEES70-1550,1.0
EMPLOYEES30-10700,EMPLOYEES70-855,1.0
EMPLOYEES30-10701,EMPLOYEES70-6678,1.0
EMPLOYEES30-10702,EMPLOYEES30-13853,1.0
EMPLOYEES30-10703,EMPLOYEES70-8757,1.0
EMPLOYEES30-10704,EMPLOYEES70-5982,1.0
EMPLOYEES30-10705,EMPLOYEES70-4049,1.0
EMPLOYEES30-10706,EMPLOYEES70-8512,1.0
EMPLOYEES30-10707,EMPLOYEES30-13256,1.0
EMPLOYEES30-10708,EMPLOYEES70-7654,1.0
EMPLOYEES30-10709,EMPLOYEES30-11868,1.0
EMPLOYEES30-10710,EMPLOYEES70-2832,1.0
EMPLOYEES30-10711,EMPLOYEES30-14755,1.0
EMPLOYEES30-10712,EMPLOYEES70-4566,1.0
EMPLOYEES30-10713,EMPLOYEES70-8410,1.0
EMPLOYEES30-10714,EMPLOYEES70-9036,1.0
EMPLOYEES30-10715,EMPLOYEES70-4348,1.0
EMPLOYEES30-10716,EMPLOYEES30-11807,1.0
EMPLOYEES30-10717,EMPLOYEES70-8529,1.0
EMPLOYEES30-10718,EMPLOYEES70-8502,1.0
EMPLOYEES30-10719,EMPLOYEES70-8530,1.0
EMPLOYEES30-10720,EMPLOYEES30-11964,1.0
EMPLOYEES30-10721,EMPLOYEES70-3326,1.0
EMPLOYEES30-10722,EMPLOYEES70-5649,1.0
EMPLOYEES30-10723,EMPLOYEES70-3621,1.0
EMPLOYEES30-10724,EMPLOYEES70-3705,1.0
EMPLOYEES30-10725,EMPLOYEES70-9781,1.0
EMPLOYEES30-10726,EMPLOYEES70-7181,1.0
EMPLOYEES30-10727,EMPLOYEES70-2795,1.0
EMPLOYEES30-10728,EMPLOYEES30-11558,1.0
EMPLOYEES30-10729,EMPLOYEES70-4972,1.0
EMPLOYEES30-10730,EMPLOYEES70-9118,1.0
EMPLOYEES30-10731,EMPLOYEES70-2010,1.0
EMPLOYEES30-10732,EMPLOYEES30-14394,1.0
EMPLOYEES30-10734,EMPLOYEES70-10151,1.0
EMPLOYEES30-10735,EMPLOYEES30-13096,1.0
EMPLOYEES30-10736,EMPLOYEES70-2097,1.0
EMPLOYEES30-10737,EMPLOYEES30-10747,1.0
EMPLOYEES30-10738,EMPLOYEES70-7180,1.0
EMPLOYEES30-10739,EMPLOYEES70-2645,1.0
EMPLOYEES30-10740,EMPLOYEES70-9437,1.0
EMPLOYEES30-10741,EMPLOYEES70-4790,1.0
EMPLOYEES30-10742,EMPLOYEES30-13156,1.0
EMPLOYEES30-10743,EMPLOYEES70-2960,1.0
EMPLOYEES30-10744,EMPLOYEES70-7367,1.0
EMPLOYEES30-10745,EMPLOYEES70-4168,1.0
EMPLOYEES30-10746,EMPLOYEES70-5566,1.0
EMPLOYEES30-10747,EMPLOYEES30-10832,1.0
EMPLOYEES30-10748,EMPLOYEES70-2431,1.0
EMPLOYEES30-10749,EMPLOYEES30-12926,1.0
EMPLOYEES30-10750,EMPLOYEES70-2953,1.0
EMPLOYEES30-10751,EMPLOYEES70-10315,1.0
EMPLOYEES30-10752,EMPLOYEES70-5008,1.0
EMPLOYEES30-10753,EMPLOYEES70-2283,1.0
EMPLOYEES30-10754,EMPLOYEES70-8478,1.0
EMPLOYEES30-10755,EMPLOYEES70-7627,1.0
EMPLOYEES30-10756,EMPLOYEES30-11826,1.0
EMPLOYEES30-10757,EMPLOYEES70-2970,1.0
EMPLOYEES30-10758,EMPLOYEES30-11697,1.0
EMPLOYEES30-10759,EMPLOYEES30-10911,1.0
EMPLOYEES30-10760,EMPLOYEES30-10503,1.0
EMPLOYEES30-10761,EMPLOYEES30-13808,1.0
EMPLOYEES30-10762,EMPLOYEES70-5775,1.0
EMPLOYEES30-10763,EMPLOYEES70-4370,1.0
EMPLOYEES30-10765,EMPLOYEES30-13900,1.0
EMPLOYEES30-10766,EMPLOYEES70-6858,1.0
EMPLOYEES30-10767,EMPLOYEES70-8930,1.0
EMPLOYEES30-10768,EMPLOYEES70-6715,1.0
EMPLOYEES30-10769,EMPLOYEES30-13520,1.0
EMPLOYEES30-10770,EMPLOYEES70-6758,1.0
EMPLOYEES30-10771,EMPLOYEES70-4694,1.0
EMPLOYEES30-10772,EMPLOYEES30-11873,1.0
EMPLOYEES30-10773,EMPLOYEES70-8483,1.0
EMPLOYEES30-10774,EMPLOYEES70-4305,1.0
EMPLOYEES30-10775,EMPLOYEES70-4242,1.0
EMPLOYEES30-10776,EMPLOYEES70-8507,1.0
EMPLOYEES30-10777,EMPLOYEES70-2627,1.0
EMPLOYEES30-10778,EMPLOYEES70-9846,1.0
EMPLOYEES30-10779,EMPLOYEES30-11918,1.0
EMPLOYEES30-10780,EMPLOYEES70-5177,1.0
EMPLOYEES30-10781,EMPLOYEES70-1896,1.0
EMPLOYEES30-10782,EMPLOYEES70-834,1.0
EMPLOYEES30-10783,EMPLOYEES30-11194,1.0
EMPLOYEES30-10784,EMPLOYEES30-10857,1.0
EMPLOYEES30-10785,EMPLOYEES70-2842,1.0
EMPLOYEES30-10786,EMPLOYEES70-7254,1.0
EMPLOYEES30-10787,EMPLOYEES30-11254,1.0
EMPLOYEES30-10788,EMPLOYEES70-5819,1.0
EMPLOYEES30-10789,EMPLOYEES70-3109,1.0
EMPLOYEES30-10790,EMPLOYEES70-10419,1.0
EMPLOYEES30-10791,EMPLOYEES30-12132,1.0
EMPLOYEES30-10792,EMPLOYEES70-6014,1.0
EMPLOYEES30-10793,EMPLOYEES70-1542,1.0
EMPLOYEES30-10794,EMPLOYEES70-4192,1.0
EMPLOYEES30-10795,EMPLOYEES30-11317,1.0
EMPLOYEES30-10796,EMPLOYEES70-10204,1.0
EMPLOYEES30-10797,EMPLOYEES70-10274,1.0
EMPLOYEES30-10798,EMPLOYEES30-12572,1.0
EMPLOYEES30-10799,EMPLOYEES30-14094,1.0
EMPLOYEES30-10800,EMPLOYEES70-2222,1.0
EMPLOYEES30-10801,EMPLOYEES30-11036,1.0
EMPLOYEES30-10802,EMPLOYEES70-7905,1.0
EMPLOYEES30-10803,EMPLOYEES70-6358,1.0
EMPLOYEES30-10804,EMPLOYEES70-7645,1.0
EMPLOYEES30-10805,EMPLOYEES70-10494,1.0
EMPLOYEES30-10806,EMPLOYEES70-1120,1.0
EMPLOYEES30-10807,EMPLOYEES30-13224,1.0
EMPLOYEES30-10808,EMPLOYEES70-2992,1.0
EMPLOYEES30-10809,EMPLOYEES70-6166,1.0
EMPLOYEES30-10810,EMPLOYEES70-8064,1.0
EMPLOYEES30-10811,EMPLOYEES70-2633,1.0
EMPLOYEES30-10812,EMPLOYEES30-10575,1.0
EMPLOYEES30-10813,EMPLOYEES70-8304,1.0
EMPLOYEES30-10814,EMPLOYEES70-8923,1.0
EMPLOYEES30-10815,EMPLOYEES70-6903,1.0
EMPLOYEES30-10816,EMPLOYEES70-2712,1.0
EMPLOYEES30-10817,EMPLOYEES70-2279,1.0
EMPLOYEES30-10818,EMPLOYEES70-5192,1.0
EMPLOYEES30-10819,EMPLOYEES70-3222,1.0
EMPLOYEES30-10820,EMPLOYEES70-7355,1.0
EMPLOYEES30-10821,EMPLOYEES70-8814,1.0
EMPLOYEES30-10822,EMPLOYEES70-3211,1.0
EMPLOYEES30-10823,EMPLOYEES30-11879,1.0
EMPLOYEES30-10824,EMPLOYEES70-4252,1.0
EMPLOYEES30-10825,EMPLOYEES70-4587,1.0
EMPLOYEES30-10826,EMPLOYEES70-9503,1.0
EMPLOYEES30-10827,EMPLOYEES30-14686,1.0
EMPLOYEES30-10828,EMPLOYEES70-9886,1.0
EMPLOYEES30-10829,EMPLOYEES30-11355,1.0
EMPLOYEES30-10830,EMPLOYEES70-5410,1.0
EMPLOYEES30-10831,EMPLOYEES30-13975,1.0
EMPLOYEES30-10832,EMPLOYEES30-10747,1.0
EMPLOYEES30-10833,EMPLOYEES70-2456,1.0
EMPLOYEES30-10834,EMPLOYEES30-11318,1.0
EMPLOYEES30-10835,EMPLOYEES70-6236,1.0
EMPLOYEES30-10836,EMPLOYEES30-14850,1.0
EMPLOYEES30-10837,EMPLOYEES70-3601,1.0
EMPLOYEES30-10838,EMPLOYEES30-11071,1.0
EMPLOYEES30-10839,EMPLOYEES70-5193,1.0
EMPLOYEES30-10840,EMPLOYEES70-3268,1.0
EMPLOYEES30-10841,EMPLOYEES70-3159,1.0
EMPLOYEES30-10842,EMPLOYEES70-9878,1.0
EMPLOYEES30-10843,EMPLOYEES70-8598,1.0
EMPLOYEES30-10844,EMPLOYEES30-10698,1.0
EMPLOYEES30-10845,EMPLOYEES70-2578,1.0
EMPLOYEES30-10846,EMPLOYEES30-13836,1.0
EMPLOYEES30-10847,EMPLOYEES70-3259,1.0
EMPLOYEES30-10848,EMPLOYEES30-12853,1.0
EMPLOYEES30-10849,EMPLOYEES70-3830,1.0
EMPLOYEES30-10850,EMPLOYEES30-13863,1.0
EMPLOYEES30-10851,EMPLOYEES70-3946,1.0
EMPLOYEES30-10852,EMPLOYEES70-3119,1.0
EMPLOYEES30-10853,EMPLOYEES70-1033,1.0
EMPLOYEES30-10854,EMPLOYEES70-2545,1.0
EMPLOYEES30-10855,EMPLOYEES70-9035,1.0
EMPLOYEES30-10856,EMPLOYEES70-1133,1.0
EMPLOYEES30-10857,EMPLOYEES70-230,1.0
EMPLOYEES30-10858,EMPLOYEES70-7033,1.0
EMPLOYEES30-10859,EMPLOYEES70-3430,1.0
EMPLOYEES30-10860,EMPLOYEES30-13242,1.0
EMPLOYEES30-10861,EMPLOYEES70-5782,1.0
EMPLOYEES30-10862,EMPLOYEES70-3203,1.0
EMPLOYEES30-10863,EMPLOYEES70-7723,1.0
EMPLOYEES30-10864,EMPLOYEES70-8520,1.0
EMPLOYEES30-10865,EMPLOYEES30-14907,1.0
EMPLOYEES30-10866,EMPLOYEES70-7712,1.0
EMPLOYEES30-10867,EMPLOYEES70-1722,1.0
EMPLOYEES30-10868,EMPLOYEES30-13275,1.0
EMPLOYEES30-10869,EMPLOYEES70-1954,1.0
EMPLOYEES30-10870,EMPLOYEES70-1653,1.0
EMPLOYEES30-10871,EMPLOYEES70-7981,1.0
EMPLOYEES30-10872,EMPLOYEES70-7640,1.0
EMPLOYEES30-10873,EMPLOYEES70-6293,1.0
EMPLOYEES30-10874,EMPLOYEES30-12898,1.0
EMPLOYEES30-10875,EMPLOYEES70-10346,1.0
EMPLOYEES30-10876,EMPLOYEES70-9720,1.0
EMPLOYEES30-10877,EMPLOYEES70-4347,1.0
EMPLOYEES30-10878,EMPLOYEES70-9472,1.0
EMPLOYEES30-10879,EMPLOYEES70-5293,1.0
EMPLOYEES30-10880,EMPLOYEES70-9799,1.0
EMPLOYEES30-10881,EMPLOYEES70-6864,1.0
EMPLOYEES30-10882,EMPLOYEES30-13075,1.0
EMPLOYEES30-10883,EMPLOYEES70-9952,1.0
EMPLOYEES30-10884,EMPLOYEES30-11404,1.0
EMPLOYEES30-10885,EMPLOYEES30-12946,1.0
EMPLOYEES30-10886,EMPLOYEES30-13544,1.0
EMPLOYEES30-10887,EMPLOYEES70-9743,1.0
EMPLOYEES30-10888,EMPLOYEES30-13411,1.0
EMPLOYEES30-10889,EMPLOYEES70-2825,1.0
EMPLOYEES30-10890,EMPLOYEES30-11847,1.0
EMPLOYEES30-10891,EMPLOYEES70-9032,1.0
EMPLOYEES30-10892,EMPLOYEES30-12464,1.0
EMPLOYEES30-10893,EMPLOYEES70-8423,1.0
EMPLOYEES30-10894,EMPLOYEES70-3694,1.0
EMPLOYEES30-10895,EMPLOYEES70-4357,1.0
EMPLOYEES30-10896,EMPLOYEES30-12525,1.0
EMPLOYEES30-10897,EMPLOYEES70-3567,1.0
EMPLOYEES30-10898,EMPLOYEES30-14846,1.0
EMPLOYEES30-10899,EMPLOYEES70-7784,1.0
EMPLOYEES30-10900,EMPLOYEES30-11046,1.0
EMPLOYEES30-10901,EMPLOYEES70-8096,1.0
EMPLOYEES30-10902,EMPLOYEES70-8456,1.0
EMPLOYEES30-10903,EMPLOYEES30-14937,1.0
EMPLOYEES30-10904,EMPLOYEES30-11130,1.0
EMPLOYEES30-10905,EMPLOYEES70-4700,1.0
EMPLOYEES30-10906,EMPLOYEES70-10324,1.0
EMPLOYEES30-10907,EMPLOYEES70-8790,1.0
EMPLOYEES30-10908,EMPLOYEES30-13502,1.0
EMPLOYEES30-10910,EMPLOYEES70-6415,1.0
EMPLOYEES30-10911,EMPLOYEES70-6643,1.0
EMPLOYEES30-10912,EMPLOYEES70-1408,1.0
EMPLOYEES30-10913,EMPLOYEES30-13659,1.0
EMPLOYEES30-10914,EMPLOYEES30-11350,1.0
EMPLOYEES30-10915,EMPLOYEES30-11085,1.0
EMPLOYEES30-10916,EMPLOYEES70-10023,1.0
EMPLOYEES30-10917,EMPLOYEES70-6901,1.0
EMPLOYEES30-10918,EMPLOYEES70-10217,1.0
EMPLOYEES30-10919,EMPLOYEES30-11352,1.0
EMPLOYEES30-10920,EMPLOYEES30-10705,1.0
EMPLOYEES30-10921,EMPLOYEES70-2123,1.0
EMPLOYEES30-10922,EMPLOYEES70-8560,1.0
EMPLOYEES30-10923,EMPLOYEES30-11266,1.0
EMPLOYEES30-10924,EMPLOYEES70-4006,1.0
EMPLOYEES30-10925,EMPLOYEES70-2845,1.0
EMPLOYEES30-10926,EMPLOYEES30-12860,1.0
EMPLOYEES30-10927,EMPLOYEES70-2874,1.0
EMPLOYEES30-10928,EMPLOYEES70-6265,1.0
EMPLOYEES30-10929,EMPLOYEES70-3584,1.0
EMPLOYEES30-10930,EMPLOYEES70-7815,1.0
EMPLOYEES30-10931,EMPLOYEES70-5876,1.0
EMPLOYEES30-10932,EMPLOYEES70-6398,1.0
EMPLOYEES30-10933,EMPLOYEES70-6861,1.0
EMPLOYEES30-10934,EMPLOYEES70-3701,1.0
EMPLOYEES30-10935,EMPLOYEES70-1222,1.0
EMPLOYEES30-10936,EMPLOYEES70-8844,1.0
EMPLOYEES30-10937,EMPLOYEES70-7222,1.0
EMPLOYEES30-10938,EMPLOYEES30-11918,1.0
EMPLOYEES30-10939,EMPLOYEES70-6418,1.0
EMPLOYEES30-10940,EMPLOYEES70-5754,1.0
EMPLOYEES30-10941,EMPLOYEES70-4227,1.0
EMPLOYEES30-10942,EMPLOYEES70-4706,1.0
EMPLOYEES30-10943,EMPLOYEES70-10295,1.0
EMPLOYEES30-10944,EMPLOYEES70-9760,1.0
EMPLOYEES30-10945,EMPLOYEES70-7745,1.0
EMPLOYEES30-10946,EMPLOYEES70-5653,1.0
EMPLOYEES30-10947,EMPLOYEES70-6661,1.0
EMPLOYEES30-10948,EMPLOYEES70-7402,1.0
EMPLOYEES30-10949,EMPLOYEES70-2698,1.0
EMPLOYEES30-10950,EMPLOYEES30-13399,1.0
EMPLOYEES30-10951,EMPLOYEES30-12877,1.0
EMPLOYEES30-10952,EMPLOYEES30-13121,1.0
EMPLOYEES30-10953,EMPLOYEES30-12831,1.0
EMPLOYEES30-10954,EMPLOYEES70-7825,1.0
EMPLOYEES30-10955,EMPLOYEES70-5443,1.0
EMPLOYEES30-10956,EMPLOYEES70-2262,1.0
EMPLOYEES30-10957,EMPLOYEES70-8004,1.0
EMPLOYEES30-10958,EMPLOYEES70-417,1.0
EMPLOYEES30-10959,EMPLOYEES70-4425,1.0
EMPLOYEES30-10960,EMPLOYEES30-14590,1.0
EMPLOYEES30-10961,EMPLOYEES70-8401,1.0
EMPLOYEES30-10962,EMPLOYEES30-12997,1.0
EMPLOYEES30-10963,EMPLOYEES30-11338,1.0
EMPLOYEES30-10964,EMPLOYEES70-8438,1.0
EMPLOYEES30-10965,EMPLOYEES70-6025,1.0
EMPLOYEES30-10966,EMPLOYEES70-10270,1.0
EMPLOYEES30-10967,EMPLOYEES70-254,1.0
